"name","avg_partnum"
"Wooden Box Set","-1.00"
"Mindstorms","0.00"
"Train","0.00"
"Samsonite","0.00"
"Key Chain","0.18"
"Technic","1.00"
"Imperial Guards","1.00"
"Supplemental","1.80"
"Power Functions","1.88"
"Control Lab","2.00"
"Classic Town","2.40"
"Star Wars","2.50"
"Adventurers","3.00"
"Planet Series 1","3.00"
"Western","3.00"
"Value Packs","3.17"
"Minifig Pack","3.50"
"Train","3.58"
"Indiana Jones","4.00"
"4 Juniors","4.00"
"Dinosaurs","4.00"
"Clikits","5.00"
"Series 14 Minifigures","5.37"
"The Hobbit","5.50"
"DFB Minifigures","5.65"
"Food & Drink","6.00"
"Pirates","6.17"
"Disney","6.22"
"Series 15 Minifigures","6.37"
"Castle","7.15"
"Series 16 Minifigures","7.18"
"Post Office","7.33"
"Tohunga","8.00"
"Food & Drink","8.50"
"9V","8.50"
"The Simpsons","8.79"
"Belville","9.08"
"Classic Basic","9.17"
"Series 10 Minifigures","9.35"
"Series 5 Minifigures","9.58"
"The LEGO Movie Series","9.58"
"Friends","9.58"
"Series 9 Minifigures","9.58"
"Series 1 Minifigures","9.74"
"Series 3 Minifigures","9.74"
"City","9.75"
"Series 2 Minifigures","9.79"
"Series 11 Minifigures","9.84"
"Advent Sub-Set","9.89"
"Series 4 Minifigures","10.00"
"Series 6 Minifigures","10.11"
"Series 13 Minifigures","10.11"
"Series 12 Minifigures","10.21"
"Series 7 Minifigures","10.26"
"Series 8 Minifigures","10.26"
"Team GB","11.00"
"Jumbo Bricks","11.00"
"Gear","11.13"
"12V","11.21"
"Creator","12.39"
"Belville","12.50"
"Scala","12.85"
"Series 17 Minifigures","12.89"
"Xalax","13.06"
"Matoran of Light","13.14"
"Star Wars","13.61"
"Basic Model","13.74"
"Train","14.00"
"4.5V","14.24"
"Technic","14.46"
"Agori","14.83"
"Supplemental","15.17"
"RC Train","15.33"
"Service Packs","16.56"
"The Lord of the Rings","17.25"
"Classic Town","18.00"
"Matoran of Mata Nui","18.46"
"Stars","18.83"
"Supplemental","18.97"
"Ben 10","19.00"
"Supplemental","19.47"
"Aquazone","20.00"
"Collectible Minifigures","20.69"
"Supplemental","20.86"
"Bohrok","20.92"
